,event_id,datetime,location,latitude,longitude,depth,magnitude,significance,alert,country,date,timestamp,level
604646,usp000jnek,2012-07-01 00:40:17.980,"Rat Islands, Aleutian Islands, Alaska",50.267,178.499,25.0,3.0,138,nan,RUS,2012-07-01,00:40:17.980000,minor
39211,usp000jnen,2012-07-01 00:44:31.000,"30 km E of Calama, Chile",-22.444,-68.628,112.7,4.7,340,nan,ARG,2012-07-01,00:44:31,light
84044,usp000jnen,2012-07-01 00:44:31.000,"30 km E of Calama, Chile",-22.444,-68.628,112.7,4.7,340,nan,BOL,2012-07-01,00:44:31,light
112079,usp000jnen,2012-07-01 00:44:31.000,"30 km E of Calama, Chile",-22.444,-68.628,112.7,4.7,340,nan,BRA,2012-07-01,00:44:31,light
165880,usp000jnen,2012-07-01 00:44:31.000,"30 km E of Calama, Chile",-22.444,-68.628,112.7,4.7,340,nan,CHL,2012-07-01,00:44:31,light
327288,usp000jnep,2012-07-01 01:43:26.400,"231 km ENE of Lospalos, Timor Leste",-7.471,128.815,141.2,4.3,284,nan,IDN,2012-07-01,01:43:26.400000,light
462280,usp000jneq,2012-07-01 02:04:37.200,"65 km NNE of Yigo Village, Guam",14.089,145.095,101.4,4.7,352,nan,MNP,2012-07-01,02:04:37.200000,light
369309,usp000jner,2012-07-01 02:49:46.000,"28 km WSW of Bor?jen, Iran",31.841,51.02,6.6,5.0,385,nan,IRN,2012-07-01,02:49:46,moderate
617585,usp000jner,2012-07-01 02:49:46.000,"28 km WSW of Bor?jen, Iran",31.841,51.02,6.6,5.0,385,nan,SAU,2012-07-01,02:49:46,moderate
448374,ci11129826,2012-07-01 03:25:20.450,"16km W of Alberto Oviedo Mota, B.C., MX",32.2071667,-115.3431667,2.821,4.64,458,green,MEX,2012-07-01,03:25:20.450000,light
705649,ci11129826,2012-07-01 03:25:20.450,"16km W of Alberto Oviedo Mota, B.C., MX",32.2071667,-115.3431667,2.821,4.64,458,green,USA,2012-07-01,03:25:20.450000,light
448375,ci11129834,2012-07-01 03:33:47.210,"14km W of Alberto Oviedo Mota, B.C., MX",32.2035,-115.3216667,9.641,3.52,191,nan,MEX,2012-07-01,03:33:47.210000,minor
705650,ci11129834,2012-07-01 03:33:47.210,"14km W of Alberto Oviedo Mota, B.C., MX",32.2035,-115.3216667,9.641,3.52,191,nan,USA,2012-07-01,03:33:47.210000,minor
204602,usp000jnev,2012-07-01 04:13:52.090,"21 km ESE of Phek, India",25.592,94.696,58.0,5.6,492,nan,CHN,2012-07-01,04:13:52.090000,moderate
361373,usp000jnev,2012-07-01 04:13:52.090,"21 km ESE of Phek, India",25.592,94.696,58.0,5.6,492,nan,IND,2012-07-01,04:13:52.090000,moderate
