,event_id,datetime,location,latitude,longitude,depth,magnitude,significance,alert,country,date,timestamp,level
290271,usp0003sf2,1989-03-01 00:08:45.790,"50 km NNW of Tobelo, Indonesia",2.172,127.902,33.0,4.9,369,nan,IDN,1989-03-01,00:08:45.790000,light
54331,usp0003sf5,1989-03-01 01:41:59.030,"176 km S of Dampit, Indonesia",-9.799,112.553,49.7,4.6,326,nan,AUS,1989-03-01,01:41:59.030000,light
290272,usp0003sf5,1989-03-01 01:41:59.030,"176 km S of Dampit, Indonesia",-9.799,112.553,49.7,4.6,326,nan,IDN,1989-03-01,01:41:59.030000,light
178272,usp0003sf6,1989-03-01 02:02:26.580,"50 km SSW of Magdalena, Philippines",10.002,121.807,33.0,4.5,312,nan,CHN,1989-03-01,02:02:26.580000,light
542028,usp0003sf6,1989-03-01 02:02:26.580,"50 km SSW of Magdalena, Philippines",10.002,121.807,33.0,4.5,312,nan,PHL,1989-03-01,02:02:26.580000,light
380419,usp0003sf7,1989-03-01 02:42:03.520,"164 km SSE of Kuril’sk, Russia",43.972,148.968,46.8,5.9,536,nan,JPN,1989-03-01,02:42:03.520000,moderate
581602,usp0003sf7,1989-03-01 02:42:03.520,"164 km SSE of Kuril’sk, Russia",43.972,148.968,46.8,5.9,536,nan,RUS,1989-03-01,02:42:03.520000,moderate
380420,usp0003sf9,1989-03-01 02:52:39.630,"99 km SSE of Kuril’sk, Russia",44.471,148.557,33.0,4.4,298,nan,JPN,1989-03-01,02:52:39.630000,light
581603,usp0003sf9,1989-03-01 02:52:39.630,"99 km SSE of Kuril’sk, Russia",44.471,148.557,33.0,4.4,298,nan,RUS,1989-03-01,02:52:39.630000,light
178273,usp0003sfa,1989-03-01 03:25:05.360,"132 km S of Lashio, Myanmar",21.754,97.941,15.8,5.8,518,nan,CHN,1989-03-01,03:25:05.360000,moderate
454714,usp0003sfa,1989-03-01 03:25:05.360,"132 km S of Lashio, Myanmar",21.754,97.941,15.8,5.8,518,nan,MMR,1989-03-01,03:25:05.360000,moderate
557613,usp0003sfd,1989-03-01 04:26:27.050,"70 km NNW of Kimbe, Papua New Guinea",-5.012,149.799,10.0,5.4,449,nan,PNG,1989-03-01,04:26:27.050000,moderate
233553,usp0003sfj,1989-03-01 05:18:23.730,"59 km E of Mahdia, Tunisia",35.58,11.707,17.2,4.4,298,nan,DZA,1989-03-01,05:18:23.730000,light
