,event_id,datetime,location,latitude,longitude,depth,magnitude,significance,alert,country,date,timestamp,level
401770,usp000gj1q,2008-10-01 00:24:58.740,"6 km NNW of Tarui, Japan",35.424,136.502,14.3,4.2,271,nan,JPN,2008-10-01,00:24:58.740000,light
602346,usp000gj1s,2008-10-01 00:53:59.610,Kuril Islands,46.637,152.178,80.9,4.5,312,nan,RUS,2008-10-01,00:53:59.610000,light
200898,usp000gj1t,2008-10-01 01:21:33.150,"36 km WNW of Jiangyou, China",31.838,104.345,10.0,3.6,199,nan,CHN,2008-10-01,01:21:33.150000,minor
444658,usp000gj1x,2008-10-01 02:28:01.400,"26 km SSW of Nuxco, Mexico",16.994,-100.866,20.0,3.7,211,nan,MEX,2008-10-01,02:28:01.400000,minor
462151,usp000gj1y,2008-10-01 02:30:46.990,"Pagan region, Northern Mariana Islands",18.803,145.591,223.0,4.3,284,nan,MNP,2008-10-01,02:30:46.990000,light
65398,usp000gj1z,2008-10-01 02:32:27.730,west of Macquarie Island,-52.261,139.312,10.0,4.2,271,nan,AUS,2008-10-01,02:32:27.730000,light
500850,usp000gj1z,2008-10-01 02:32:27.730,west of Macquarie Island,-52.261,139.312,10.0,4.2,271,nan,NZL,2008-10-01,02:32:27.730000,light
200899,usp000gj20,2008-10-01 02:39:25.020,"260 km S of Turpan, China",40.604,89.035,10.0,4.7,340,nan,CHN,2008-10-01,02:39:25.020000,light
444659,usp000gj21,2008-10-01 02:56:58.600,"Guerrero, Mexico",17.141,-100.821,20.0,3.6,199,nan,MEX,2008-10-01,02:56:58.600000,minor
500851,usp000gj23,2008-10-01 03:03:24.660,"Kermadec Islands, New Zealand",-29.997,-177.476,17.2,5.0,385,nan,NZL,2008-10-01,03:03:24.660000,moderate
444660,usp000gj24,2008-10-01 03:09:32.500,"Guerrero, Mexico",17.017,-100.85,12.4,3.6,199,nan,MEX,2008-10-01,03:09:32.500000,minor
321233,usp000gj25,2008-10-01 03:12:18.950,"176 km SSE of Sinabang, Indonesia",0.957,96.849,26.7,4.9,369,nan,IDN,2008-10-01,03:12:18.950000,light
278915,usp000gj26,2008-10-01 03:53:46.000,"32 km NNE of Göcek, Turkey",37.018,29.105,4.5,3.9,234,nan,GRC,2008-10-01,03:53:46,minor
675479,usp000gj26,2008-10-01 03:53:46.000,"32 km NNE of Göcek, Turkey",37.018,29.105,4.5,3.9,234,nan,TUR,2008-10-01,03:53:46,minor
65399,usp000gj27,2008-10-01 04:13:59.730,west of Macquarie Island,-52.298,140.429,10.0,4.9,369,nan,AUS,2008-10-01,04:13:59.730000,light
500852,usp000gj27,2008-10-01 04:13:59.730,west of Macquarie Island,-52.298,140.429,10.0,4.9,369,nan,NZL,2008-10-01,04:13:59.730000,light
321234,usp000gj28,2008-10-01 04:30:25.140,"178 km S of Sarangani, Philippines",3.792,125.574,35.0,4.4,298,nan,IDN,2008-10-01,04:30:25.140000,light
