,event_id,datetime,location,latitude,longitude,depth,magnitude,significance,alert,country,date,timestamp,level
303764,usp000a12p,2000-10-01 00:02:47.090,"138 km ESE of Nabire, Indonesia",-3.966,136.589,33.0,5.2,416,nan,IDN,2000-10-01,00:02:47.090000,moderate
303765,usp000a12r,2000-10-01 00:15:57.300,"153 km ESE of Nabire, Indonesia",-3.954,136.749,33.0,4.0,246,nan,IDN,2000-10-01,00:15:57.300000,light
562497,usp000a12r,2000-10-01 00:15:57.300,"153 km ESE of Nabire, Indonesia",-3.954,136.749,33.0,4.0,246,nan,PNG,2000-10-01,00:15:57.300000,light
2454,usp000a12s,2000-10-01 01:20:45.130,"13 km WSW of Farkh?r, Afghanistan",36.51,69.728,33.0,4.4,298,nan,AFG,2000-10-01,01:20:45.130000,light
524342,usp000a12s,2000-10-01 01:20:45.130,"13 km WSW of Farkh?r, Afghanistan",36.51,69.728,33.0,4.4,298,nan,PAK,2000-10-01,01:20:45.130000,light
261054,usp000a12u,2000-10-01 02:12:47.200,"10 km NNE of Xylókastro, Greece",38.17,22.66,6.0,3.5,188,nan,GRC,2000-10-01,02:12:47.200000,minor
647093,usp000a12w,2000-10-01 02:37:59.190,"126 km S of Hihifo, Tonga",-17.084,-173.995,33.0,4.7,340,nan,TON,2000-10-01,02:37:59.190000,light
261055,usp000a12x,2000-10-01 02:43:33.300,"13 km NNW of Xylókastro, Greece",38.18,22.55,5.0,3.3,168,nan,GRC,2000-10-01,02:43:33.300000,minor
436676,usp000a12z,2000-10-01 03:29:55.900,"71 km SSW of Copala, Mexico",16.017,-99.247,16.4,3.6,199,nan,MEX,2000-10-01,03:29:55.900000,minor
261056,usp000a130,2000-10-01 03:32:30.100,"12 km NNE of Xylókastro, Greece",38.19,22.67,5.0,3.1,148,nan,GRC,2000-10-01,03:32:30.100000,minor
22681,usp000a131,2000-10-01 04:11:44.640,"44 km S of San Martín, Argentina",-33.483,-68.455,10.0,4.0,246,nan,ARG,2000-10-01,04:11:44.640000,light
96903,usp000a131,2000-10-01 04:11:44.640,"44 km S of San Martín, Argentina",-33.483,-68.455,10.0,4.0,246,nan,BRA,2000-10-01,04:11:44.640000,light
146662,usp000a131,2000-10-01 04:11:44.640,"44 km S of San Martín, Argentina",-33.483,-68.455,10.0,4.0,246,nan,CHL,2000-10-01,04:11:44.640000,light
483040,usp000a131,2000-10-01 04:11:44.640,"44 km S of San Martín, Argentina",-33.483,-68.455,10.0,4.0,246,nan,NZL,2000-10-01,04:11:44.640000,light
647094,usp000a132,2000-10-01 04:18:33.670,"238 km E of Levuka, Fiji",-17.866,-178.437,600.0,3.9,234,nan,TON,2000-10-01,04:18:33.670000,minor
436677,ci9164821,2000-10-01 04:46:19.030,"12km S of Alberto Oviedo Mota, B.C., MX",32.125,-115.152,5.973,3.9,234,nan,MEX,2000-10-01,04:46:19.030000,minor
697300,ci9164821,2000-10-01 04:46:19.030,"12km S of Alberto Oviedo Mota, B.C., MX",32.125,-115.152,5.973,3.9,234,nan,USA,2000-10-01,04:46:19.030000,minor
303766,usp000a134,2000-10-01 05:23:36.320,"18 km NW of Pelabuhanratu, Indonesia",-6.858,106.448,150.0,4.2,271,nan,IDN,2000-10-01,05:23:36.320000,light
222039,usp000a138,2000-10-01 07:12:29.900,"57 km WNW of Bahía de Caráquez, Ecuador",-0.412,-80.902,33.0,4.7,340,nan,COL,2000-10-01,07:12:29.900000,light
237642,usp000a138,2000-10-01 07:12:29.900,"57 km WNW of Bahía de Caráquez, Ecuador",-0.412,-80.902,33.0,4.7,340,nan,ECU,2000-10-01,07:12:29.900000,light
533921,usp000a138,2000-10-01 07:12:29.900,"57 km WNW of Bahía de Caráquez, Ecuador",-0.412,-80.902,33.0,4.7,340,nan,PER,2000-10-01,07:12:29.900000,light
59757,usp000a13b,2000-10-01 08:03:12.150,"34 km ENE of Port-Olry, Vanuatu",-14.975,167.382,136.7,4.5,312,nan,AUS,2000-10-01,08:03:12.150000,light
728268,usp000a13b,2000-10-01 08:03:12.150,"34 km ENE of Port-Olry, Vanuatu",-14.975,167.382,136.7,4.5,312,nan,VUT,2000-10-01,08:03:12.150000,light
146663,usp000a13d,2000-10-01 08:42:58.920,southern East Pacific Rise,-34.838,-109.494,10.0,4.2,271,nan,CHL,2000-10-01,08:42:58.920000,light
483041,usp000a13d,2000-10-01 08:42:58.920,southern East Pacific Rise,-34.838,-109.494,10.0,4.2,271,nan,NZL,2000-10-01,08:42:58.920000,light
188819,usp000a13g,2000-10-01 10:59:18.860,"236 km S of Port Blair, India",9.554,93.078,86.0,4.5,312,nan,CHN,2000-10-01,10:59:18.860000,light
353960,usp000a13g,2000-10-01 10:59:18.860,"236 km S of Port Blair, India",9.554,93.078,86.0,4.5,312,nan,IND,2000-10-01,10:59:18.860000,light
455811,usp000a13g,2000-10-01 10:59:18.860,"236 km S of Port Blair, India",9.554,93.078,86.0,4.5,312,nan,MMR,2000-10-01,10:59:18.860000,light
464152,usp000a13k,2000-10-01 11:49:30.550,"14 km NW of Salima, Malawi",-13.703,34.353,10.0,4.2,271,nan,MOZ,2000-10-01,11:49:30.550000,light
464561,usp000a13k,2000-10-01 11:49:30.550,"14 km NW of Salima, Malawi",-13.703,34.353,10.0,4.2,271,nan,MWI,2000-10-01,11:49:30.550000,light
261057,usp000a13q,2000-10-01 13:11:42.200,"14 km SSE of Antikyra, Greece",38.26,22.67,52.0,3.1,148,nan,GRC,2000-10-01,13:11:42.200000,minor
10603,usp000a13r,2000-10-01 13:15:29.100,"16 km E of Orikum, Albania",40.34,19.66,5.0,3.3,168,nan,ALB,2000-10-01,13:15:29.100000,minor
261058,usp000a13r,2000-10-01 13:15:29.100,"16 km E of Orikum, Albania",40.34,19.66,5.0,3.3,168,nan,GRC,2000-10-01,13:15:29.100000,minor
466871,usp000a13s,2000-10-01 14:14:18.670,"31 km SSW of Masachapa, Nicaragua",11.54,-86.664,10.0,4.5,312,nan,NIC,2000-10-01,14:14:18.670000,light
562498,usp000a13t,2000-10-01 14:17:48.060,"21 km SSE of Madang, Papua New Guinea",-5.407,145.856,96.7,3.6,199,nan,PNG,2000-10-01,14:17:48.060000,minor
591622,usp000a13v,2000-10-01 14:36:25.270,"92 km ENE of Petropavlovsk-Kamchatsky, Russia",53.323,159.951,62.4,4.0,246,nan,RUS,2000-10-01,14:36:25.270000,light
466872,usp000a13w,2000-10-01 14:43:33.860,"52 km SSW of Masachapa, Nicaragua",11.373,-86.758,10.0,4.6,326,nan,NIC,2000-10-01,14:43:33.860000,light
188820,usp000a13x,2000-10-01 14:48:30.990,"99 km E of Kashgar, China",39.348,77.137,33.0,3.7,211,nan,CHN,2000-10-01,14:48:30.990000,minor
428233,usp000a13x,2000-10-01 14:48:30.990,"99 km E of Kashgar, China",39.348,77.137,33.0,3.7,211,nan,KGZ,2000-10-01,14:48:30.990000,minor
10604,usp000a13y,2000-10-01 14:54:15.700,"2 km NNE of Orikum, Albania",40.35,19.48,32.0,3.4,178,nan,ALB,2000-10-01,14:54:15.700000,minor
261059,usp000a13y,2000-10-01 14:54:15.700,"2 km NNE of Orikum, Albania",40.35,19.48,32.0,3.4,178,nan,GRC,2000-10-01,14:54:15.700000,minor
282663,usp000a13z,2000-10-01 15:05:24.620,Iceland region,68.905,-16.497,10.0,4.8,354,nan,GRL,2000-10-01,15:05:24.620000,light
436678,usp000a141,2000-10-01 16:01:54.800,"54 km S of Hacienda de Cabañas, Mexico",16.61,-100.534,10.0,3.9,234,nan,MEX,2000-10-01,16:01:54.800000,minor
303767,usp000a145,2000-10-01 18:16:19.110,"35 km E of Mangili, Philippines",5.966,126.001,150.3,4.2,271,nan,IDN,2000-10-01,18:16:19.110000,light
546424,usp000a145,2000-10-01 18:16:19.110,"35 km E of Mangili, Philippines",5.966,126.001,150.3,4.2,271,nan,PHL,2000-10-01,18:16:19.110000,light
367119,usp000a146,2000-10-01 18:22:59.710,"130 km WNW of Mohr, Iran",27.829,51.598,33.0,3.5,188,nan,IRN,2000-10-01,18:22:59.710000,minor
616680,usp000a146,2000-10-01 18:22:59.710,"130 km WNW of Mohr, Iran",27.829,51.598,33.0,3.5,188,nan,SAU,2000-10-01,18:22:59.710000,minor
391867,usp000a147,2000-10-01 18:54:12.390,Mariana Islands region,21.489,144.49,173.5,4.1,259,nan,JPN,2000-10-01,18:54:12.390000,light
303768,usp000a148,2000-10-01 19:03:28.170,"101 km WSW of Ambon, Indonesia",-4.046,127.334,33.0,5.8,518,nan,IDN,2000-10-01,19:03:28.170000,moderate
22682,usp000a14a,2000-10-01 19:42:24.290,"55 km SW of Mendoza, Argentina",-33.285,-69.198,10.0,4.2,271,nan,ARG,2000-10-01,19:42:24.290000,light
96904,usp000a14a,2000-10-01 19:42:24.290,"55 km SW of Mendoza, Argentina",-33.285,-69.198,10.0,4.2,271,nan,BRA,2000-10-01,19:42:24.290000,light
146664,usp000a14a,2000-10-01 19:42:24.290,"55 km SW of Mendoza, Argentina",-33.285,-69.198,10.0,4.2,271,nan,CHL,2000-10-01,19:42:24.290000,light
483042,usp000a14a,2000-10-01 19:42:24.290,"55 km SW of Mendoza, Argentina",-33.285,-69.198,10.0,4.2,271,nan,NZL,2000-10-01,19:42:24.290000,light
436679,usp000a14b,2000-10-01 21:55:22.900,"1 km ESE of San Raymundo Jalpam, Mexico",16.967,-96.74,65.8,4.0,246,nan,MEX,2000-10-01,21:55:22.900000,light
288489,usp000a14c,2000-10-01 22:01:56.540,"2 km SSW of Litija, Slovenia",46.041,14.809,10.0,3.0,138,nan,HRV,2000-10-01,22:01:56.540000,minor
377023,usp000a14c,2000-10-01 22:01:56.540,"2 km SSW of Litija, Slovenia",46.041,14.809,10.0,3.0,138,nan,ITA,2000-10-01,22:01:56.540000,minor
636267,usp000a14c,2000-10-01 22:01:56.540,"2 km SSW of Litija, Slovenia",46.041,14.809,10.0,3.0,138,nan,SVN,2000-10-01,22:01:56.540000,minor
483043,usp000a14e,2000-10-01 22:17:46.130,south of the Kermadec Islands,-33.484,-179.016,250.0,3.7,211,nan,NZL,2000-10-01,22:17:46.130000,minor
575996,usp000a14f,2000-10-01 22:23:27.450,"5 km NNE of Rudna, Poland",51.551,16.298,5.0,3.3,168,nan,POL,2000-10-01,22:23:27.450000,minor
562499,usp000a14h,2000-10-01 23:08:36.390,"164 km ENE of Angoram, Papua New Guinea",-3.29,145.331,33.0,4.3,284,nan,PNG,2000-10-01,23:08:36.390000,light
219557,usp000a14k,2000-10-02 02:25:31.310,"15 km W of Nkove, Tanzania",-7.977,30.709,34.0,6.5,650,nan,COD,2000-10-02,02:25:31.310000,strong
685548,usp000a14k,2000-10-02 02:25:31.310,"15 km W of Nkove, Tanzania",-7.977,30.709,34.0,6.5,650,nan,TZA,2000-10-02,02:25:31.310000,strong
391868,usp000a14n,2000-10-02 03:24:40.620,"40 km ESE of Takahagi, Japan",36.546,141.114,33.0,3.9,234,nan,JPN,2000-10-02,03:24:40.620000,minor
303769,usp000a14p,2000-10-02 03:30:26.220,"237 km NE of Lospalos, Timor Leste",-7.297,128.77,136.9,4.9,369,nan,IDN,2000-10-02,03:30:26.220000,light
22683,usp000a14r,2000-10-02 04:21:57.050,"39 km SE of Machalí, Chile",-34.474,-70.406,5.3,3.7,211,nan,ARG,2000-10-02,04:21:57.050000,minor
146665,usp000a14r,2000-10-02 04:21:57.050,"39 km SE of Machalí, Chile",-34.474,-70.406,5.3,3.7,211,nan,CHL,2000-10-02,04:21:57.050000,minor
483044,usp000a14r,2000-10-02 04:21:57.050,"39 km SE of Machalí, Chile",-34.474,-70.406,5.3,3.7,211,nan,NZL,2000-10-02,04:21:57.050000,minor
