,event_id,datetime,location,latitude,longitude,depth,magnitude,significance,alert,country,date,timestamp,level
383546,usp0005zj6,1993-09-01 00:32:42.470,"Izu Islands, Japan region",31.639,141.632,33.0,4.7,340,nan,JPN,1993-09-01,00:32:42.470000,light
383547,usp0005zj7,1993-09-01 00:41:23.320,"Izu Islands, Japan region",31.712,141.611,45.7,5.9,536,nan,JPN,1993-09-01,00:41:23.320000,moderate
383548,usp0005zj9,1993-09-01 03:35:27.380,"Izu Islands, Japan region",31.859,141.641,44.3,5.4,449,nan,JPN,1993-09-01,03:35:27.380000,moderate
181626,usp0005zjc,1993-09-01 04:21:55.810,"166 km W of Basco, Philippines",20.168,120.407,29.2,5.2,416,nan,CHN,1993-09-01,04:21:55.810000,moderate
543335,usp0005zjc,1993-09-01 04:21:55.810,"166 km W of Basco, Philippines",20.168,120.407,29.2,5.2,416,nan,PHL,1993-09-01,04:21:55.810000,moderate
678698,usp0005zjc,1993-09-01 04:21:55.810,"166 km W of Basco, Philippines",20.168,120.407,29.2,5.2,416,nan,TWN,1993-09-01,04:21:55.810000,moderate
383549,usp0005zjd,1993-09-01 06:28:05.310,"Izu Islands, Japan region",31.652,141.599,42.3,4.8,354,nan,JPN,1993-09-01,06:28:05.310000,light
532558,usp0005zje,1993-09-01 06:54:53.600,"15 km WSW of Anchonga, Peru",-12.912,-74.842,90.1,4.7,340,nan,PER,1993-09-01,06:54:53.600000,light
125434,usp0005zjf,1993-09-01 07:12:38.370,"98 km ENE of Eagle Village, Alaska",65.01,-139.104,5.0,3.9,234,nan,CAN,1993-09-01,07:12:38.370000,minor
466414,usp0005zjn,1993-09-01 08:20:01.960,"113 km WSW of Masachapa, Nicaragua",11.449,-87.499,33.0,4.5,312,nan,NIC,1993-09-01,08:20:01.960000,light
181627,usp0005zjp,1993-09-01 08:22:43.330,"83 km SE of Hayuliang, India",27.546,97.152,59.2,4.7,340,nan,CHN,1993-09-01,08:22:43.330000,light
352260,usp0005zjp,1993-09-01 08:22:43.330,"83 km SE of Hayuliang, India",27.546,97.152,59.2,4.7,340,nan,IND,1993-09-01,08:22:43.330000,light
455127,usp0005zjp,1993-09-01 08:22:43.330,"83 km SE of Hayuliang, India",27.546,97.152,59.2,4.7,340,nan,MMR,1993-09-01,08:22:43.330000,light
433797,usp0005zjs,1993-09-01 09:04:21.460,"94 km SW of La Esperanza (El Zapotal), Mexico",14.752,-93.676,49.9,4.7,340,nan,MEX,1993-09-01,09:04:21.460000,light
254870,usp0005zju,1993-09-01 09:35:37.030,"13 km SSE of Seferihisar, Turkey",38.083,26.897,10.0,3.2,158,nan,GRC,1993-09-01,09:35:37.030000,minor
667505,usp0005zju,1993-09-01 09:35:37.030,"13 km SSE of Seferihisar, Turkey",38.083,26.897,10.0,3.2,158,nan,TUR,1993-09-01,09:35:37.030000,minor
137553,usp0005zjw,1993-09-01 10:58:57.110,southeast of Easter Island,-41.227,-90.979,10.0,4.9,369,nan,CHL,1993-09-01,10:58:57.110000,light
