,event_id,datetime,location,latitude,longitude,depth,magnitude,significance,alert,country,date,timestamp,level
254658,usp0005vf2,1993-07-01 00:12:09.530,"48 km S of Lithakiá, Greece",37.285,20.867,33.0,4.3,284,nan,GRC,1993-07-01,00:12:09.530000,light
664841,usp0005vf3,1993-07-01 00:15:02.570,"13 km NNE of Paradise, Trinidad and Tobago",10.765,-61.312,33.0,3.2,158,nan,TTO,1993-07-01,00:15:02.570000,minor
721242,usp0005vf3,1993-07-01 00:15:02.570,"13 km NNE of Paradise, Trinidad and Tobago",10.765,-61.312,33.0,3.2,158,nan,VEN,1993-07-01,00:15:02.570000,minor
254659,usp0005vf4,1993-07-01 01:26:30.800,"36 km SE of Sykiá, Greece",39.767,24.183,10.0,3.3,168,nan,GRC,1993-07-01,01:26:30.800000,minor
137394,usp0005vf7,1993-07-01 03:58:06.980,"Off the coast of Aisen, Chile",-45.046,-80.621,33.0,4.9,369,nan,CHL,1993-07-01,03:58:06.980000,light
472880,usp0005vf7,1993-07-01 03:58:06.980,"Off the coast of Aisen, Chile",-45.046,-80.621,33.0,4.9,369,nan,NZL,1993-07-01,03:58:06.980000,light
254660,usp0005vf9,1993-07-01 06:20:06.150,"7 km SSE of Çandarl?, Turkey",38.874,26.955,10.0,3.5,188,nan,GRC,1993-07-01,06:20:06.150000,minor
667397,usp0005vf9,1993-07-01 06:20:06.150,"7 km SSE of Çandarl?, Turkey",38.874,26.955,10.0,3.5,188,nan,TUR,1993-07-01,06:20:06.150000,minor
79950,usp0005vfb,1993-07-01 07:31:00.300,"9 km WSW of P?narhisar, Turkey",41.595,27.418,10.0,3.0,138,nan,BGR,1993-07-01,07:31:00.300000,minor
254661,usp0005vfb,1993-07-01 07:31:00.300,"9 km WSW of P?narhisar, Turkey",41.595,27.418,10.0,3.0,138,nan,GRC,1993-07-01,07:31:00.300000,minor
584291,usp0005vfb,1993-07-01 07:31:00.300,"9 km WSW of P?narhisar, Turkey",41.595,27.418,10.0,3.0,138,nan,RUS,1993-07-01,07:31:00.300000,minor
667398,usp0005vfb,1993-07-01 07:31:00.300,"9 km WSW of P?narhisar, Turkey",41.595,27.418,10.0,3.0,138,nan,TUR,1993-07-01,07:31:00.300000,minor
10126,usp0005vfc,1993-07-01 07:57:11.510,"18 km W of Rodotópi, Greece",39.736,20.516,10.0,3.5,188,nan,ALB,1993-07-01,07:57:11.510000,minor
254662,usp0005vfc,1993-07-01 07:57:11.510,"18 km W of Rodotópi, Greece",39.736,20.516,10.0,3.5,188,nan,GRC,1993-07-01,07:57:11.510000,minor
691556,nc361591,1993-07-01 08:21:31.780,"2 km E of Aromas, California",36.8855,-121.6193333,6.988,3.09,147,nan,USA,1993-07-01,08:21:31.780000,minor
254663,usp0005vff,1993-07-01 09:43:38.450,"27 km S of Thymianá, Greece",38.068,26.115,10.0,3.3,168,nan,GRC,1993-07-01,09:43:38.450000,minor
667399,usp0005vff,1993-07-01 09:43:38.450,"27 km S of Thymianá, Greece",38.068,26.115,10.0,3.3,168,nan,TUR,1993-07-01,09:43:38.450000,minor
383302,usp0005vfg,1993-07-01 09:52:25.620,"85 km ENE of Hasaki, Japan",36.154,141.629,28.5,5.0,385,nan,JPN,1993-07-01,09:52:25.620000,moderate
125392,usp0005vfh,1993-07-01 10:49:45.600,"122 km N of Attawapiskat, Canada",54.024,-82.237,18.0,3.7,211,nan,CAN,1993-07-01,10:49:45.600000,minor
721243,usp0005vfn,1993-07-01 11:56:08.320,"122 km ENE of Guatire, Venezuela",10.909,-65.515,10.0,4.1,259,nan,VEN,1993-07-01,11:56:08.320000,light
282319,usp0005vfp,1993-07-01 12:07:32.400,"19 km WSW of Saint George's, Grenada",11.962,-61.903,108.7,3.8,222,nan,GRD,1993-07-01,12:07:32.400000,minor
721244,usp0005vfp,1993-07-01 12:07:32.400,"19 km WSW of Saint George's, Grenada",11.962,-61.903,108.7,3.8,222,nan,VEN,1993-07-01,12:07:32.400000,minor
293872,usp0005vfz,1993-07-01 18:30:43.310,"60 km SE of Gorontalo, Indonesia",0.136,123.426,195.9,4.5,312,nan,IDN,1993-07-01,18:30:43.310000,light
472881,usp0005vg0,1993-07-01 18:38:54.010,"23 km SSE of Otorohanga, New Zealand",-38.386,175.262,33.0,3.8,222,nan,NZL,1993-07-01,18:38:54.010000,minor
254664,usp0005vg2,1993-07-01 20:32:28.240,"18 km W of Tycheró, Greece",41.048,26.076,10.0,3.2,158,nan,GRC,1993-07-01,20:32:28.240000,minor
667400,usp0005vg2,1993-07-01 20:32:28.240,"18 km W of Tycheró, Greece",41.048,26.076,10.0,3.2,158,nan,TUR,1993-07-01,20:32:28.240000,minor
250145,usp0005vg3,1993-07-01 20:40:23.220,"2 km NNW of Bouillante, Guadeloupe",16.148,-61.781,176.9,4.0,246,nan,GLP,1993-07-01,20:40:23.220000,light
532542,usp0005vg7,1993-07-01 21:54:49.110,"12 km SSW of Copa, Peru",-10.499,-77.105,33.0,4.1,259,nan,PER,1993-07-01,21:54:49.110000,light
293873,usp0005vgf,1993-07-02 00:14:08.610,"58 km NE of Pototano, Indonesia",-8.083,117.901,32.0,5.0,385,nan,IDN,1993-07-02,00:14:08.610000,moderate
89079,usp0005vgh,1993-07-02 01:46:41.960,"92 km W of Arica, Chile",-18.503,-71.177,68.4,4.2,271,nan,BRA,1993-07-02,01:46:41.960000,light
137395,usp0005vgh,1993-07-02 01:46:41.960,"92 km W of Arica, Chile",-18.503,-71.177,68.4,4.2,271,nan,CHL,1993-07-02,01:46:41.960000,light
532543,usp0005vgh,1993-07-02 01:46:41.960,"92 km W of Arica, Chile",-18.503,-71.177,68.4,4.2,271,nan,PER,1993-07-02,01:46:41.960000,light
228849,usp0005vgn,1993-07-02 03:48:50.710,"4 km NW of Tarnowskie Góry, Poland",50.472,18.821,10.0,3.2,158,nan,CZE,1993-07-02,03:48:50.710000,minor
575028,usp0005vgn,1993-07-02 03:48:50.710,"4 km NW of Tarnowskie Góry, Poland",50.472,18.821,10.0,3.2,158,nan,POL,1993-07-02,03:48:50.710000,minor
282466,usp0005vgp,1993-07-02 04:11:04.550,"117 km WNW of Olonkinbyen, Svalbard and Jan Mayen",71.511,-11.422,10.0,5.7,500,nan,GRL,1993-07-02,04:11:04.550000,moderate
254665,usp0005vgs,1993-07-02 05:39:09.300,"39 km S of Karpathos, Greece",35.154,27.216,33.0,4.0,246,nan,GRC,1993-07-02,05:39:09.300000,light
254666,usp0005vgt,1993-07-02 06:04:33.350,"11 km SSW of Geyikli, Turkey",39.709,26.149,10.0,3.4,178,nan,GRC,1993-07-02,06:04:33.350000,minor
667401,usp0005vgt,1993-07-02 06:04:33.350,"11 km SSW of Geyikli, Turkey",39.709,26.149,10.0,3.4,178,nan,TUR,1993-07-02,06:04:33.350000,minor
383303,usp0005vgw,1993-07-02 07:24:23.840,"11 km SSW of Hasaki, Japan",35.643,140.775,64.3,4.5,312,nan,JPN,1993-07-02,07:24:23.840000,light
293874,usp0005vgx,1993-07-02 07:47:13.160,"18 km ENE of Jayapura, Indonesia",-2.454,140.861,24.2,4.7,340,nan,IDN,1993-07-02,07:47:13.160000,light
558913,usp0005vgx,1993-07-02 07:47:13.160,"18 km ENE of Jayapura, Indonesia",-2.454,140.861,24.2,4.7,340,nan,PNG,1993-07-02,07:47:13.160000,light
55884,usp0005vh3,1993-07-02 10:11:17.800,"134 km SSW of Lata, Solomon Islands",-11.836,165.304,33.0,4.7,340,nan,AUS,1993-07-02,10:11:17.800000,light
624327,usp0005vh3,1993-07-02 10:11:17.800,"134 km SSW of Lata, Solomon Islands",-11.836,165.304,33.0,4.7,340,nan,SLB,1993-07-02,10:11:17.800000,light
644046,usp0005vh6,1993-07-02 15:43:29.980,"272 km E of Levuka, Fiji",-18.15,-178.11,621.8,4.4,298,nan,TON,1993-07-02,15:43:29.980000,light
472882,usp0005vh8,1993-07-02 16:54:27.730,"Kermadec Islands, New Zealand",-29.141,-178.57,96.0,4.5,312,nan,NZL,1993-07-02,16:54:27.730000,light
254667,usp0005vh9,1993-07-02 18:12:08.160,"6 km SW of S?nd?rg?, Turkey",39.203,28.115,10.0,3.2,158,nan,GRC,1993-07-02,18:12:08.160000,minor
667402,usp0005vh9,1993-07-02 18:12:08.160,"6 km SW of S?nd?rg?, Turkey",39.203,28.115,10.0,3.2,158,nan,TUR,1993-07-02,18:12:08.160000,minor
691557,nc363553,1993-07-02 19:03:27.210,California-Nevada border region,37.6231667,-118.8701667,4.942,3.21,159,nan,USA,1993-07-02,19:03:27.210000,minor
789,usp0005vhc,1993-07-02 19:32:14.030,"67 km SSW of Ashk?sham, Afghanistan",36.14,71.191,87.4,4.5,312,nan,AFG,1993-07-02,19:32:14.030000,light
522937,usp0005vhc,1993-07-02 19:32:14.030,"67 km SSW of Ashk?sham, Afghanistan",36.14,71.191,87.4,4.5,312,nan,PAK,1993-07-02,19:32:14.030000,light
125393,usp0005vhd,1993-07-02 20:07:10.100,"8 km N of Manhattan, Montana",45.937,-111.332,5.1,3.5,188,nan,CAN,1993-07-02,20:07:10.100000,minor
691558,usp0005vhd,1993-07-02 20:07:10.100,"8 km N of Manhattan, Montana",45.937,-111.332,5.1,3.5,188,nan,USA,1993-07-02,20:07:10.100000,minor
293875,usp0005vhe,1993-07-02 20:49:09.020,"48 km SE of Bengkulu, Indonesia",-4.078,102.602,92.9,5.4,449,nan,IDN,1993-07-02,20:49:09.020000,moderate
575029,usp0005vhk,1993-07-02 22:31:50.250,"4 km WNW of Chojnów, Poland",51.286,15.869,10.0,3.2,158,nan,POL,1993-07-02,22:31:50.250000,minor
